pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
109.3,-53.12,-90.0,top,C1,,,C_0603_1608Metric,220pF,smt
118.3,-61.7611,180.0,top,C10,,,C_0603_1608Metric,100nF,smt
121.9,-61.72,180.0,top,C11,,,C_0603_1608Metric,100nF,smt
125.1,-61.72,0.0,top,C12,,,C_0603_1608Metric,100nF,smt
123.3,-53.12,-90.0,top,C13,,,C_0805_2012Metric,10uF,smt
125.5,-53.12,-90.0,top,C14,,,C_0805_2012Metric,10uF,smt
127.5,-53.32,90.0,top,C15,,,C_0603_1608Metric,100nF,smt
128.275,-61.72,180.0,top,C16,,,C_0603_1608Metric,220pF,smt
102.799998,-70.7,0.0,top,C17,,,C_0603_1608Metric,100nF,smt
98.799998,-70.7,180.0,top,C18,,,C_0805_2012Metric,10uF,smt
118.9,-50.72,0.0,top,C2,,,C_0603_1608Metric,3.3nF,smt
118.1,-53.12,-90.0,top,C3,,,C_0603_1608Metric,100nF,smt
115.7,-53.92,180.0,top,C4,,,C_0603_1608Metric,2.2uF,smt
107.7,-53.12,-90.0,top,C5,,,C_0603_1608Metric,100nF,smt
102.9,-53.12,-90.0,top,C55,,,C_0603_1608Metric,100nF,smt
105.7,-53.12,-90.0,top,C6,,,C_0805_2012Metric,10uF,smt
110.9,-53.12,-90.0,top,C7,,,C_0603_1608Metric,100nF,smt
110.3,-65.92,180.0,top,C8,,,CP_Elec_6.3x5.8,33uF,smt
112.9,-53.12,-90.0,top,C9,,,C_0805_2012Metric,10uF,smt
110.3,-58.17,0.0,top,FB1,,,C_2220_5750Metric,FerriteBead,smt
125.3,-58.12,0.0,top,FB2,,,L_1812_4532Metric,74279252,smt
123.575,-80.275,180.0,top,L1,,,IND_SER2918H-333KL,33uH,smt
121.3,-53.12,-90.0,top,R1,,,R_0603_1608Metric,31.6k,smt
119.7,-53.12,-90.0,top,R2,,,R_0603_1608Metric,60.4k,smt
115.7,-52.32,0.0,top,R3,,,R_0603_1608Metric,33.6k,smt
102.799998,-64.7,0.0,top,R4,,,R_0603_1608Metric,15k,smt
102.799998,-67.2,0.0,top,R5,,,R_0603_1608Metric,274k,smt
118.3,-58.12,90.0,top,U1,,,05-08-7040_ADI,LT8342RV-TRMPBF,smt
103.175,-58.1178,90.0,top,U11,,,REL0014A_PINA745AIRELR_TEX,PINA745AIRELR,smt
98.799999,-66.025001,-90.0,top,U2,,,RM_10_ADI,AD5259BRMZ100,smt
